model_a,baseline,environment,auc_dynamofe,auc_baseline,point_diff,ci_95_low,ci_95_high,statistically_superior
DynaMoFE (Adaptive Gating OOF),ForensicsAdapter,resize075_then_h264_crf30,95.42602040816328,86.73724489795919,8.688775510204081,6.827806122448976,10.389062499999996,True
DynaMoFE (Adaptive Gating OOF),ForensicsAdapter,h264_crf30_then_resize075,96.77040816326532,88.3061224489796,8.464285714285722,6.596874999999993,10.167091836734699,True
DynaMoFE (Adaptive Gating OOF),Xception,canonical,99.31377551020408,98.55102040816325,0.7627551020408134,0.2525510204081627,1.3163584183673596,True
DynaMoFE (Adaptive Gating OOF),Xception,jpeg40,97.97066326530613,93.37117346938774,4.599489795918373,2.872448979591837,6.324011479591848,True
DynaMoFE (Adaptive Gating OOF),Xception,webp50,96.2079081632653,91.32780612244899,4.880102040816325,3.2933354591836776,6.424808673469389,True
DynaMoFE (Adaptive Gating OOF),Xception,h264_crf35,92.99107142857143,87.88010204081633,5.110969387755105,3.318845663265305,6.927359693877553,True
DynaMoFE (Adaptive Gating OOF),Xception,h265_crf32,94.5,88.7716836734694,5.728316326530603,4.016517857142867,7.432493622448965,True
DynaMoFE (Adaptive Gating OOF),Xception,resize075_then_h264_crf30,95.42602040816328,90.33545918367346,5.0905612244897895,3.5293367346938846,6.659438775510196,True
DynaMoFE (Adaptive Gating OOF),Xception,h264_crf30_then_resize075,96.77040816326532,93.11607142857143,3.6543367346938993,2.1759885204081657,5.2016262755102,True
DynaMoFE (Adaptive Gating OOF),F3Net,canonical,99.31377551020408,98.60459183673468,0.709183673469397,0.22445790816327113,1.2474489795918373,True
DynaMoFE (Adaptive Gating OOF),F3Net,jpeg40,97.97066326530613,93.87372448979592,4.0969387755102105,2.7372130102040844,5.469387755102048,True
DynaMoFE (Adaptive Gating OOF),F3Net,webp50,96.2079081632653,92.20663265306122,4.0012755102040956,2.5305803571428642,5.4375318877551155,True
DynaMoFE (Adaptive Gating OOF),F3Net,h264_crf35,92.99107142857143,87.34693877551021,5.64413265306122,3.650446428571423,7.602200255102043,True
DynaMoFE (Adaptive Gating OOF),F3Net,h265_crf32,94.5,90.5829081632653,3.9170918367346985,2.2856505102040874,5.576594387755084,True
DynaMoFE (Adaptive Gating OOF),F3Net,resize075_then_h264_crf30,95.42602040816328,90.69897959183673,4.727040816326536,3.135172193877549,6.279400510204089,True
DynaMoFE (Adaptive Gating OOF),F3Net,h264_crf30_then_resize075,96.77040816326532,92.7984693877551,3.9719387755102105,2.400478316326525,5.586766581632647,True
DynaMoFE (Adaptive Gating OOF),FCG (Official CVPR 2025),canonical,99.31377551020408,98.65561224489797,0.6581632653061149,0.15813137755101325,1.149266581632661,True
DynaMoFE (Adaptive Gating OOF),FCG (Official CVPR 2025),jpeg40,97.97066326530613,96.96428571428571,1.006377551020421,0.11859056122447742,1.8788584183673456,True
DynaMoFE (Adaptive Gating OOF),FCG (Official CVPR 2025),webp50,96.2079081632653,94.74489795918367,1.463010204081641,0.18494897959183731,2.7283163265306034,True
DynaMoFE (Adaptive Gating OOF),FCG (Official CVPR 2025),h264_crf35,92.99107142857143,90.25000000000001,2.7410714285714306,1.1070153061224532,4.302327806122451,True
DynaMoFE (Adaptive Gating OOF),FCG (Official CVPR 2025),h265_crf32,94.5,91.55229591836735,2.9477040816326507,1.625,4.243654336734695,True
DynaMoFE (Adaptive Gating OOF),FCG (Official CVPR 2025),resize075_then_h264_crf30,95.42602040816328,91.74744897959182,3.6785714285714306,2.2040497448979557,5.24489795918366,True
DynaMoFE (Adaptive Gating OOF),FCG (Official CVPR 2025),h264_crf30_then_resize075,96.77040816326532,93.55229591836735,3.2181122448979664,1.8724489795918373,4.596938775510196,True
DynaMoFE (Adaptive Gating OOF),Static Tri-Expert,canonical,99.31377551020408,99.37755102040816,-0.06377551020408134,-0.2142857142857082,0.06632653061224403,False
DynaMoFE (Adaptive Gating OOF),Static Tri-Expert,jpeg40,97.97066326530613,98.05229591836735,-0.08163265306122014,-0.3252551020408134,0.142857142857153,False
DynaMoFE (Adaptive Gating OOF),Static Tri-Expert,webp50,96.2079081632653,96.42219387755104,-0.2142857142857082,-0.47704081632652195,0.03188775510204778,False
DynaMoFE (Adaptive Gating OOF),Static Tri-Expert,h264_crf35,92.99107142857143,92.78698979591837,0.20408163265307167,-0.23855229591836993,0.6313775510204067,False
DynaMoFE (Adaptive Gating OOF),Static Tri-Expert,h265_crf32,94.5,94.54336734693878,-0.04336734693877986,-0.4464285714285694,0.33928571428570853,False
DynaMoFE (Adaptive Gating OOF),Static Tri-Expert,resize075_then_h264_crf30,95.42602040816328,95.3533163265306,0.07270408163265074,-0.2602359693877666,0.3954081632653157,False
DynaMoFE (Adaptive Gating OOF),Static Tri-Expert,h264_crf30_then_resize075,96.77040816326532,96.60331632653062,0.16709183673471273,-0.09311224489796643,0.42984693877551194,False
DynaMoFE (Adaptive Gating OOF),Static Quad-Expert,canonical,99.31377551020408,99.34821428571429,-0.03443877551021046,-0.09311224489796643,0.012755102040827637,False
DynaMoFE (Adaptive Gating OOF),Static Quad-Expert,jpeg40,97.97066326530613,98.0829081632653,-0.11224489795917236,-0.24489795918366042,-0.008928571428569398,False
DynaMoFE (Adaptive Gating OOF),Static Quad-Expert,webp50,96.2079081632653,96.28954081632652,-0.08163265306122014,-0.20918367346938282,0.04336734693876565,False
DynaMoFE (Adaptive Gating OOF),Static Quad-Expert,h264_crf35,92.99107142857143,93.16836734693878,-0.17729591836734926,-0.3903061224489761,0.03191964285714899,False
DynaMoFE (Adaptive Gating OOF),Static Quad-Expert,h265_crf32,94.5,94.59693877551022,-0.09693877551021046,-0.2946428571428612,0.08290816326530148,False
DynaMoFE (Adaptive Gating OOF),Static Quad-Expert,resize075_then_h264_crf30,95.42602040816328,95.49617346938776,-0.07015306122448806,-0.20408163265305782,0.07018494897958927,False
DynaMoFE (Adaptive Gating OOF),Static Quad-Expert,h264_crf30_then_resize075,96.77040816326532,96.84311224489795,-0.07270408163263653,-0.2346938775510239,0.07780612244899032,False
Static Quad-Expert,TALL (Local Seed 42),canonical,99.34821428571429,98.38010204081633,0.9681122448979664,0.18364158163265396,2.077838010204078,True
Static Quad-Expert,TALL (Local Seed 42),jpeg40,98.0829081632653,89.73852040816327,8.344387755102034,5.6236926020408164,11.464285714285708,True
